MeetID,MeetPath,Federation,Date,MeetCountry,MeetState,MeetTown,MeetName
7201,usapl/SD-2016-01,USAPL,3/4/2016,USA,SD,,2016 South Dakota Bench Press and Powerlifting Championships
7202,usapl/SD-2016-02,USAPL,2/13/2016,USA,SD,,High School Qualifier
7203,usapl/SD-2016-03,USAPL,12/10/2016,USA,SD,,2016 Sioux Empire Push-Pull Open
7204,usapl/SD-2017-01,USAPL,3/25/2017,USA,SD,,2017 South Dakota State Championships
7205,usapl/SD-2017-02,USAPL,2/25/2017,USA,SD,,South Dakota High School Qualifier
7206,usapl/SD-2017-03,USAPL,12/16/2017,USA,SD,,South Dakota Championships
7207,usapl/TN-2015-02,USAPL,8/29/2015,USA,TN,,Music City Open
7208,usapl/TN-2017-01,USAPL,4/29/2017,USA,TN,,Tennessee State Championship
7209,usapl/TN-2017-02,USAPL,3/3/2017,USA,TN,,2017 Southern Iron Raw Open
7210,usapl/TN-2017-03,USAPL,11/18/2017,USA,TN,,2017 Power Partners Raw Open
7211,usapl/TX-2013-01,USAPL,12/7/2013,USA,TX,,2013 Texas Regional Championships
7212,usapl/TX-2013-02,USAPL,9/28/2013,USA,,,5th Annual Iron Wars
7213,usapl/TX-2014-01,USAPL,3/9/2014,USA,TX,,Gulf Coast Championships
7214,usapl/TX-2014-02,USAPL,2/22/2014,USA,TX,,2014 Aggie Showdown
7215,usapl/TX-2014-03,USAPL,7/12/2014,USA,TX,,2014 Summer Power Fest
7216,usapl/TX-2014-04,USAPL,9/20/2014,USA,TX,,IRON WARS
7217,usapl/TX-2014-05,USAPL,4/26/2014,USA,TX,,2014 Texas State Championships
7218,usapl/TX-2014-06,USAPL,12/6/2014,USA,TX,,Texas Regional Championships
7219,usapl/TX-2014-07,USAPL,11/22/2014,USA,TX,,2014 Longhorn Open
7220,usapl/TX-2014-08,USAPL,12/13/2014,USA,TX,,2014 Holiday Classic
7221,usapl/TX-2015-01,USAPL,3/8/2015,USA,TX,,2015 Texas Strength Classic
7222,usapl/TX-2015-03,USAPL,7/11/2015,USA,TX,,2015 Summer Power Fest
7223,usapl/TX-2015-04,USAPL,4/25/2015,USA,TX,,2015 Texas State Championships
7224,usapl/TX-2015-06,USAPL,9/26/2015,USA,TX,,Iron Wars
7225,usapl/TX-2015-07,USAPL,12/19/2015,USA,TX,,Texas Regional Championships
7226,usapl/TX-2015-08,USAPL,11/7/2015,USA,TX,,Raw Collegiate Cup
7227,usapl/TX-2015-09,USAPL,11/14/2015,USA,TX,,2015 Longhorn Open
7228,usapl/TX-2016-01,USAPL,1/17/2016,USA,TX,,Winter Games of Texas
7229,usapl/TX-2016-02,USAPL,2/20/2016,USA,TX,,2016 Aggie Showdown
7230,usapl/TX-2016-03,USAPL,4/9/2016,USA,TX,,Texas State Championships
7231,usapl/TX-2016-04,USAPL,3/13/2016,USA,TX,,Texas Strength Classic
7232,usapl/TX-2016-05,USAPL,7/16/2016,USA,TX,,2016 Summer Power Fest
7233,usapl/TX-2016-06,USAPL,5/7/2016,USA,TX,,2016 CBC Powerlifting Championships
7234,usapl/TX-2016-07,USAPL,4/3/2016,USA,TX,,Mean Green Classic
7235,usapl/TX-2016-08,USAPL,2/28/2016,USA,TX,,2016 Bare Bones Qualifier
7236,usapl/TX-2016-09,USAPL,5/29/2016,USA,TX,,2016 Central Texas Classic
7237,usapl/TX-2016-10,USAPL,11/5/2016,USA,TX,,2016 Raw Collegiate Cup
7238,usapl/TX-2016-11,USAPL,9/17/2016,USA,TX,San Antonio,2016 8th Annual Iron Wars
7239,usapl/TX-2016-12,USAPL,4/18/2016,USA,TX,,2016 Bare Bones Qualifer
7240,usapl/TX-2016-13,USAPL,11/4/2016,USA,TX,,Rise of the Dead Push Pull
7241,usapl/TX-2016-14,USAPL,8/28/2016,USA,TX,,Late Summer Qualifier
7242,usapl/TX-2016-15,USAPL,11/19/2016,USA,TX,,2016 Longhorn Open
7243,usapl/TX-2017-01,USAPL,1/15/2017,USA,TX,,2017 Winter Games of Texas
7244,usapl/TX-2017-02,USAPL,2/18/2017,USA,TX,,2017 Aggie Showdown
7245,usapl/TX-2017-03,USAPL,3/4/2017,USA,TX,Arlington,2017 Arlington Strength Raw Classic
7246,usapl/TX-2017-04,USAPL,7/15/2017,USA,TX,,2017 Summer Power Fest
7247,usapl/TX-2017-05,USAPL,8/26/2017,USA,TX,,Texas Raw Championships
7248,usapl/TX-2017-06,USAPL,2/26/2017,USA,TX,,2017 Texas Strength Classic
7249,usapl/TX-2017-07,USAPL,4/29/2017,USA,TX,,2017 Central Texas Classic
7250,usapl/TX-2017-08,USAPL,6/3/2017,USA,TX,,2017 Texas State Powerlifting Championships
7251,usapl/TX-2017-09,USAPL,2/26/2017,USA,TX,,2017 Bare Bones Qualifier
7252,usapl/TX-2017-10,USAPL,4/22/2017,USA,TX,,2017 CBC Powerlifting Championships
7253,usapl/TX-2017-11,USAPL,4/23/2017,USA,TX,,2017 Dallas Open
7254,usapl/TX-2017-12,USAPL,9/30/2017,USA,TX,,9th Annual Iron Wars
7255,usapl/TX-2017-13,USAPL,12/2/2017,USA,TX,,2017 Texas Open & Collegiate Cup
7256,usapl/TX-2017-14,USAPL,12/16/2017,USA,TX,,Winter Iron Open
7257,usapl/TX-2017-15,USAPL,9/2/2017,USA,TX,El Paso,El Paso Iron Open
7258,usapl/TX-2017-16,USAPL,11/11/2017,USA,TX,,Rio Grande Valley Fall Classic
7259,usapl/TX-2017-17,USAPL,11/18/2017,USA,TX,,Longhorn Open
7260,usapl/TX-2018-01,USAPL,1/14/2018,USA,TX,,Winter Games of Texas
7261,usapl/TX-2018-09,USAPL,1/20/2018,USA,TX,,Mean Green Raw Classic
7262,usapl/USAPL-2014-01,USAPL,2/28/2014,USA,OH,,Arnold
7263,usapl/USAPL-2014-02,USAPL,9/13/2014,USA,PA,,Great Lakes Pro Deadlift
7264,usapl/USAPL-2015-01,USAPL,3/6/2015,USA,,,2015 Arnold - Pro American
7265,usapl/USAPL-2015-02,USAPL,8/29/2015,USA,PA,,2015 Great Lakes Sports Festival Pro Raw Deadlift
7266,usapl/USAPL-2016-01,USAPL,3/6/2016,USA,OH,,Arnold - Titan Pro Raw Bench Bash
7267,usapl/USAPL-2017-01,USAPL,3/4/2017,USA,OH,,Arnold Slingshot Pro American
7268,usapl/USAPL-2017-01-A,USAPL,3/5/2017,USA,OH,,Arnold Slingshot Pro Deadlift
